sku,product_name,category,sub_category,cost_price,selling_price,profit,profit_margin %
SKU-0064,Organic Address Powder,Wellness,Protein Bars,41.11,98.88,57.769999999999996,58.42
SKU-0065,Organic Staff 1kg,Bundles,Starter Kits,47.83,110.05,62.22,56.54
SKU-0066,Organic Politics 1kg,Pantry Staples,Grains & Rice,35.08,63.06,27.980000000000004,44.37
SKU-0067,Organic Key Powder,Wellness,Supplements,5.52,12.25,6.73,54.94
SKU-0068,Organic Begin Capsules,Wellness,Vitamins,34.67,72.68,38.010000000000005,52.3
SKU-0069,Organic Quite 500ml,Bundles,Starter Kits,5.42,13.22,7.800000000000001,59.0
SKU-0070,Organic Woman 1kg,Household,Laundry,21.1,45.13,24.03,53.25
SKU-0071,Organic Spring 250g,Pantry Staples,Pasta,40.85,91.6,50.74999999999999,55.4
SKU-0072,Organic Camera 250g,Pantry Staples,Nut Butters,45.94,69.85,23.909999999999997,34.23
SKU-0073,Organic Air 500ml,Household,Eco-Friendly Paper Goods,30.54,67.32,36.779999999999994,54.63
SKU-0074,Organic Benefit 1kg,Bundles,Starter Kits,39.41,78.61,39.2,49.87
SKU-0075,Organic Participant 1kg,Pantry Staples,Oils & Vinegars,6.88,17.07,10.190000000000001,59.7
SKU-0076,Organic Life 1kg,Household,Laundry,25.49,44.22,18.73,42.36
SKU-0077,Organic Marriage 250g,Beverages,Plant-Based Milks,37.01,79.26,42.25000000000001,53.31
SKU-0078,Organic Step 1kg,Beverages,Organic Juices,35.22,62.35,27.130000000000003,43.51
SKU-0079,Organic Success 1kg,Pantry Staples,Pasta,25.89,51.64,25.75,49.86
SKU-0080,Organic Scientist 1kg,Pantry Staples,Nut Butters,46.32,100.47,54.15,53.9
SKU-0081,Organic Hear Capsules,Wellness,Supplements,26.59,51.44,24.849999999999998,48.31
SKU-0082,Organic Sell 500ml,Pantry Staples,Pasta,47.66,112.67,65.01,57.7
SKU-0083,Organic Character 500ml,Bundles,Starter Kits,49.02,91.59,42.57,46.48
SKU-0084,Organic Into 250g,Beverages,Organic Juices,21.01,46.18,25.169999999999998,54.5
SKU-0085,Organic On 500ml,Pantry Staples,Oils & Vinegars,41.28,103.03,61.75,59.93
SKU-0086,Organic House 1kg,Beverages,Herbal Teas,34.8,72.99,38.19,52.32
SKU-0087,Organic Involve Powder,Pantry Staples,Protein Bars,33.35,55.38,22.03,39.78
SKU-0088,Organic When Capsules,Wellness,Supplements,15.58,26.92,11.340000000000002,42.12
SKU-0089,Organic Vote 250g,Pantry Staples,Oils & Vinegars,44.91,111.88,66.97,59.86
SKU-0090,Organic Unit 250g,Household,Eco-Friendly Paper Goods,26.12,59.01,32.89,55.74
SKU-0091,Organic Skin Powder,Pantry Staples,Protein Bars,23.82,51.65,27.83,53.88
SKU-0092,Organic Development Powder,Wellness,Supplements,41.21,70.29,29.080000000000005,41.37
SKU-0093,Organic True Capsules,Wellness,Vitamins,32.56,67.15,34.59,51.51
SKU-0094,Organic End 250g,Household,Eco-Friendly Paper Goods,19.33,35.45,16.120000000000005,45.47
SKU-0095,Organic Take 250g,Pantry Staples,Oils & Vinegars,18.27,41.18,22.91,55.63
SKU-0096,Organic Particular 1kg,Beverages,Organic Juices,35.26,57.67,22.410000000000004,38.86
SKU-0097,Organic Recognize Capsules,Wellness,Superfoods,27.16,41.71,14.55,34.88
SKU-0098,Organic Yourself Powder,Wellness,Superfoods,12.05,18.16,6.109999999999999,33.65
SKU-0099,Organic Course 1kg,Household,Laundry,11.76,26.66,14.9,55.89
SKU-0100,Organic Door Powder,Wellness,Protein Bars,20.58,31.22,10.64,34.08
SKU-0101,Organic Modern 1kg,Beverages,Organic Juices,13.61,32.14,18.53,57.65
SKU-0102,Organic Professor Capsules,Wellness,Supplements,45.9,104.59,58.690000000000005,56.11
SKU-0103,Organic Old 500ml,Pantry Staples,Nut Butters,27.25,46.21,18.96,41.03
SKU-0104,Organic Bit 500ml,Pantry Staples,Oils & Vinegars,31.54,72.48,40.940000000000005,56.48
SKU-0105,Organic Ahead Capsules,Wellness,Vitamins,39.77,91.3,51.529999999999994,56.44
SKU-0106,Organic Set 250g,Household,Eco-Friendly Paper Goods,20.52,40.94,20.419999999999998,49.88
SKU-0107,Organic Particular 250g,Household,Eco-Friendly Paper Goods,33.85,77.26,43.410000000000004,56.19
SKU-0108,Organic Career 250g,Pantry Staples,Grains & Rice,46.33,37.06,-9.269999999999996,-25.01
SKU-0109,Organic These 250g,Household,Cleaning Supplies,27.26,60.35,33.09,54.83
SKU-0110,Organic Oil Capsules,Wellness,Vitamins,34.75,54.28,19.53,35.98
SKU-0111,Organic Structure 1kg,Beverages,Plant-Based Milks,32.78,61.29,28.509999999999998,46.52
SKU-0112,Organic Project Capsules,Wellness,Vitamins,29.85,56.23,26.379999999999995,46.91
SKU-0113,Organic Few 250g,Pantry Staples,Grains & Rice,14.99,36.05,21.059999999999995,58.42
SKU-0114,Organic About 1kg,Bundles,Starter Kits,31.93,50.52,18.590000000000003,36.8
SKU-0115,Organic Consider 250g,Pantry Staples,Pasta,23.22,45.99,22.770000000000003,49.51
SKU-0116,Organic Also Capsules,Wellness,Protein Bars,21.29,46.61,25.32,54.32
SKU-0117,Organic Wife 1kg,Beverages,Plant-Based Milks,38.87,78.26,39.39000000000001,50.33
SKU-0118,Organic Film 250g,Pantry Staples,Nut Butters,21.57,50.06,28.490000000000002,56.91
SKU-0119,Organic Certain 250g,Beverages,Herbal Teas,49.27,77.79,28.520000000000003,36.66
SKU-0120,Organic Congress 250g,Household,Cleaning Supplies,43.53,92.23,48.7,52.8
SKU-0121,Organic Community 250g,Pantry Staples,Pasta,49.53,121.27,71.74,59.16
SKU-0122,Organic Project 250g,Pantry Staples,Pasta,48.27,95.96,47.68999999999999,49.7
SKU-0123,Organic Lead 1kg,Beverages,Herbal Teas,11.61,26.36,14.75,55.96
SKU-0124,Organic Half Capsules,Wellness,Superfoods,46.0,91.5,45.5,49.73
SKU-0125,Organic News Capsules,Wellness,Superfoods,40.95,77.83,36.879999999999995,47.39
SKU-0126,Organic Accept 500ml,Beverages,Plant-Based Milks,36.34,78.39,42.05,53.64
SKU-0127,Organic New 250g,Pantry Staples,Grains & Rice,7.41,14.03,6.619999999999999,47.18
SKU-0128,Organic Hundred 250g,Household,Cleaning Supplies,19.36,33.36,14.0,41.97
SKU-0129,Organic Special 500ml,Household,Laundry,6.31,15.4,9.09,59.03
SKU-0130,Organic Spring 500ml,Beverages,Organic Juices,33.38,51.64,18.259999999999998,35.36
SKU-0131,Organic Reality 1kg,Pantry Staples,Grains & Rice,47.85,77.44,29.589999999999996,38.21
SKU-0132,Organic Idea 250g,Household,Cleaning Supplies,24.89,40.26,15.369999999999997,38.18
SKU-0133,Organic Quickly 250g,Beverages,Herbal Teas,8.77,14.02,5.25,37.45
SKU-0134,Organic Performance 1kg,Household,Eco-Friendly Paper Goods,7.69,18.64,10.95,58.74
SKU-0135,Organic Around 500ml,Bundles,Starter Kits,20.76,48.09,27.330000000000002,56.83
SKU-0136,Organic Important Capsules,Wellness,Supplements,12.58,25.59,13.01,50.84
SKU-0137,Organic Carry Powder,Wellness,Superfoods,46.98,77.04,30.06000000000001,39.02
SKU-0138,Organic Relate Capsules,Wellness,Vitamins,9.17,17.43,8.26,47.39
SKU-0139,Organic Without 1kg,Pantry Staples,Oils & Vinegars,40.37,85.13,44.76,52.58
SKU-0140,Organic Action 250g,Pantry Staples,Pasta,15.86,38.72,22.86,59.04
SKU-0141,Organic Through 250g,Household,Laundry,7.97,16.14,8.170000000000002,50.62
SKU-0142,Organic Place 500ml,Bundles,Starter Kits,49.71,79.41,29.699999999999996,37.4
SKU-0143,Organic Cause 1kg,Pantry Staples,Oils & Vinegars,48.76,86.38,37.62,43.55
SKU-0144,Organic Item 250g,Beverages,Organic Juices,6.34,10.31,3.9700000000000006,38.51
SKU-0145,Organic Nature 250g,Beverages,Plant-Based Milks,35.52,55.37,19.849999999999994,35.85
SKU-0146,Organic Option 250g,Pantry Staples,Oils & Vinegars,11.77,25.99,14.219999999999999,54.71
SKU-0147,Organic Site 500ml,Household,Cleaning Supplies,32.39,79.01,46.620000000000005,59.01
SKU-0148,Organic See 1kg,Household,Laundry,14.58,36.15,21.57,59.67
SKU-0149,Organic If Powder,Wellness,Supplements,8.03,17.73,9.700000000000001,54.71
SKU-0150,Organic War 250g,Household,Cleaning Supplies,26.66,49.67,23.01,46.33
SKU-0151,Organic Meet 1kg,Beverages,Herbal Teas,47.26,116.74,69.47999999999999,59.52
SKU-0152,Organic Capital Powder,Wellness,Superfoods,28.45,54.64,26.19,47.93
SKU-0153,Organic Source 500ml,Bundles,Starter Kits,33.05,78.04,44.99000000000001,57.65
SKU-0154,Organic Economic 1kg,Bundles,Starter Kits,14.55,29.07,14.52,49.95
SKU-0155,Organic Participant Capsules,Wellness,Vitamins,35.2,64.56,29.36,45.48
SKU-0156,Organic Early 1kg,Pantry Staples,Grains & Rice,16.81,29.43,12.620000000000001,42.88
SKU-0157,Organic Civil Powder,Wellness,Vitamins,42.21,89.12,46.910000000000004,52.64
SKU-0158,Organic Fire 250g,Pantry Staples,Oils & Vinegars,44.61,95.39,50.78,53.23
SKU-0159,Organic It 1kg,Household,Eco-Friendly Paper Goods,44.49,107.18,62.690000000000005,58.49
SKU-0160,Organic Professor Powder,Wellness,Vitamins,7.88,15.53,7.6499999999999995,49.26
SKU-0161,Organic Explain Powder,Pantry Staples,Protein Bars,24.93,59.28,34.35,57.95
SKU-0162,Organic Talk Capsules,Wellness,Protein Bars,36.04,75.14,39.1,52.04
SKU-0163,Organic Rich 250g,Pantry Staples,Oils & Vinegars,23.37,48.5,25.13,51.81
SKU-0164,Organic Store Capsules,Wellness,Vitamins,9.14,14.82,5.68,38.33
SKU-0165,Organic Just 1kg,Beverages,Herbal Teas,37.5,67.57,30.069999999999993,44.5
SKU-0166,Organic Data Powder,Wellness,Vitamins,10.06,15.8,5.74,36.33
SKU-0167,Organic Democratic 500ml,Pantry Staples,Oils & Vinegars,22.35,37.48,15.129999999999995,40.37
SKU-0168,Organic Year 500ml,Beverages,Organic Juices,10.17,18.78,8.610000000000001,45.85
SKU-0169,Organic Next 1kg,Pantry Staples,Nut Butters,36.34,76.89,40.55,52.74
SKU-0170,Organic Seat 250g,Beverages,Herbal Teas,23.06,52.37,29.31,55.97
SKU-0171,Organic All 500ml,Pantry Staples,Pasta,30.3,56.56,26.26,46.43
SKU-0172,Organic Choice 500ml,Bundles,Starter Kits,44.61,85.13,40.519999999999996,47.6
SKU-0173,Organic Goal 250g,Bundles,Starter Kits,41.26,96.08,54.82,57.06
SKU-0174,Organic Who Capsules,Wellness,Supplements,21.84,48.11,26.27,54.6
SKU-0175,Organic Eye Powder,Wellness,Supplements,20.58,43.09,22.510000000000005,52.24
SKU-0176,Organic Student Capsules,Wellness,Supplements,18.69,29.69,11.0,37.05
SKU-0177,Organic Response 1kg,Beverages,Plant-Based Milks,41.98,101.56,59.580000000000005,58.66
SKU-0178,Organic Pattern 500ml,Beverages,Plant-Based Milks,18.93,37.76,18.83,49.87
SKU-0179,Organic Manage 250g,Beverages,Organic Juices,43.21,93.62,50.410000000000004,53.85
SKU-0180,Organic Skin 250g,Beverages,Plant-Based Milks,7.69,15.34,7.6499999999999995,49.87
SKU-0181,Organic Employee 1kg,Pantry Staples,Oils & Vinegars,46.67,91.97,45.3,49.26
SKU-0182,Organic Laugh 1kg,Pantry Staples,Pasta,10.83,21.24,10.409999999999998,49.01
SKU-0183,Organic Fish Powder,Wellness,Supplements,21.13,51.34,30.210000000000004,58.84
SKU-0184,Organic Find Capsules,Wellness,Vitamins,36.89,83.87,46.980000000000004,56.02
SKU-0185,Organic Factor Capsules,Wellness,Supplements,24.47,59.15,34.68,58.63
SKU-0186,Organic Listen 500ml,Pantry Staples,Oils & Vinegars,16.32,39.87,23.549999999999997,59.07
SKU-0187,Organic Outside 250g,Pantry Staples,Pasta,8.67,16.12,7.450000000000001,46.22
SKU-0188,Organic Current 250g,Pantry Staples,Grains & Rice,35.87,80.13,44.26,55.24
SKU-0189,Organic Environmental 250g,Pantry Staples,Oils & Vinegars,17.74,30.3,12.560000000000002,41.45
SKU-0190,Organic Speak 250g,Beverages,Herbal Teas,20.23,40.14,19.91,49.6
SKU-0191,Organic Prove 250g,Household,Laundry,34.79,54.89,20.1,36.62
SKU-0192,Organic Understand Capsules,Wellness,Vitamins,11.88,28.74,16.86,58.66
SKU-0193,Organic Item 1kg,Household,Cleaning Supplies,18.93,46.54,27.61,59.33
SKU-0194,Organic Body 1kg,Household,Cleaning Supplies,12.81,22.03,9.22,41.85
SKU-0195,Organic Rich 1kg,Beverages,Herbal Teas,31.2,62.24,31.040000000000003,49.87
SKU-0196,Organic Cultural Powder,Wellness,Vitamins,19.55,39.01,19.459999999999997,49.88
SKU-0197,Organic After 1kg,Beverages,Herbal Teas,20.59,48.88,28.290000000000003,57.88
SKU-0198,Organic Deep Powder,Pantry Staples,Protein Bars,27.75,55.36,27.61,49.87
SKU-0199,Organic I 250g,Pantry Staples,Oils & Vinegars,11.65,28.56,16.909999999999997,59.21
SKU-0200,Organic Under 250g,Pantry Staples,Nut Butters,31.97,56.38,24.410000000000004,43.3
SKU-0201,Organic Security Capsules,Wellness,Protein Bars,29.65,51.35,21.700000000000003,42.26
SKU-0202,Organic Garden Capsules,Wellness,Vitamins,16.19,40.11,23.919999999999998,59.64
SKU-0203,Organic Add 1kg,Beverages,Plant-Based Milks,11.84,25.56,13.719999999999999,53.68
SKU-0204,Organic Middle Capsules,Wellness,Superfoods,49.79,102.52,52.73,51.43
SKU-0205,Organic Education Capsules,Pantry Staples,Protein Bars,8.4,15.71,7.3100000000000005,46.53
SKU-0206,Organic Or 250g,Beverages,Organic Juices,43.69,71.81,28.120000000000005,39.16
SKU-0207,Organic Happen 1kg,Pantry Staples,Oils & Vinegars,45.21,91.87,46.660000000000004,50.79
SKU-0208,Organic Left Capsules,Wellness,Protein Bars,16.85,39.89,23.04,57.76
SKU-0209,Organic Stock 1kg,Pantry Staples,Grains & Rice,32.17,64.18,32.010000000000005,49.88
SKU-0210,Organic Finally 250g,Pantry Staples,Oils & Vinegars,37.78,65.36,27.58,42.2
SKU-0211,Organic Ever 250g,Pantry Staples,Oils & Vinegars,18.99,30.96,11.970000000000002,38.66
SKU-0212,Organic Need Capsules,Wellness,Superfoods,28.82,51.86,23.04,44.43
SKU-0213,Organic Culture Powder,Wellness,Protein Bars,40.83,81.37,40.540000000000006,49.82
SKU-0214,Organic Concern 500ml,Pantry Staples,Nut Butters,34.59,68.59,34.0,49.57
SKU-0215,Organic Program 500ml,Pantry Staples,Nut Butters,36.82,62.64,25.82,41.22
SKU-0216,Organic Past Capsules,Wellness,Superfoods,48.22,76.19,27.97,36.71
SKU-0217,Organic Factor Capsules,Wellness,Supplements,31.2,48.48,17.279999999999998,35.64
SKU-0218,Organic Along 500ml,Beverages,Herbal Teas,13.05,31.12,18.07,58.07
SKU-0219,Organic Security Powder,Wellness,Supplements,22.2,44.55,22.349999999999998,50.17
SKU-0220,Organic Day 250g,Household,Eco-Friendly Paper Goods,17.39,33.5,16.11,48.09
SKU-0221,Organic Make 1kg,Beverages,Organic Juices,16.34,38.91,22.569999999999997,58.01
SKU-0222,Organic One Powder,Wellness,Vitamins,29.46,66.18,36.720000000000006,55.49
SKU-0223,Organic Brother 1kg,Household,Laundry,39.0,77.81,38.81,49.88
SKU-0224,Organic Nor Powder,Wellness,Vitamins,31.93,63.69,31.759999999999998,49.87
SKU-0225,Organic Sit Capsules,Pantry Staples,Protein Bars,43.24,82.63,39.38999999999999,47.67
SKU-0226,Organic Social 1kg,Household,Eco-Friendly Paper Goods,6.76,10.36,3.5999999999999996,34.75
SKU-0227,Organic Wait 250g,Beverages,Organic Juices,5.3,9.48,4.180000000000001,44.09
SKU-0228,Organic Difference Powder,Wellness,Vitamins,37.06,29.65,-7.410000000000004,-24.99
SKU-0229,Organic Spend 1kg,Beverages,Herbal Teas,36.3,72.41,36.11,49.87
SKU-0230,Organic Low 500ml,Household,Eco-Friendly Paper Goods,21.91,43.7,21.790000000000003,49.86
SKU-0231,Organic Down 250g,Pantry Staples,Pasta,19.87,42.38,22.51,53.11
SKU-0232,Organic Whose 1kg,Pantry Staples,Oils & Vinegars,43.31,84.89,41.58,48.98
SKU-0233,Organic Same 250g,Household,Laundry,22.52,38.53,16.01,41.55
SKU-0234,Organic Building 1kg,Pantry Staples,Oils & Vinegars,6.52,15.49,8.97,57.91
SKU-0235,Organic Coach 1kg,Pantry Staples,Nut Butters,21.04,34.9,13.86,39.71
SKU-0236,Organic Tonight Capsules,Wellness,Vitamins,25.42,60.48,35.059999999999995,57.97
SKU-0237,Organic Record Powder,Pantry Staples,Protein Bars,13.89,26.84,12.95,48.25
SKU-0238,Organic Today Capsules,Pantry Staples,Protein Bars,28.81,23.05,-5.759999999999998,-24.99
SKU-0239,Organic Recognize Capsules,Wellness,Superfoods,18.71,34.55,15.839999999999996,45.85
SKU-0240,Organic Beat 1kg,Pantry Staples,Nut Butters,47.0,103.62,56.620000000000005,54.64
SKU-0241,Organic Even 1kg,Pantry Staples,Grains & Rice,8.89,16.9,8.009999999999998,47.4
SKU-0242,Organic Treatment 500ml,Household,Cleaning Supplies,28.57,57.0,28.43,49.88
SKU-0243,Organic Realize 1kg,Household,Eco-Friendly Paper Goods,8.05,16.05,8.0,49.84
SKU-0244,Organic Recently Powder,Pantry Staples,Protein Bars,16.89,39.84,22.950000000000003,57.61
SKU-0245,Organic Discuss 250g,Household,Eco-Friendly Paper Goods,47.52,105.5,57.98,54.96
SKU-0246,Organic Total 1kg,Pantry Staples,Pasta,46.75,72.6,25.849999999999994,35.61
SKU-0247,Organic Interesting 500ml,Pantry Staples,Oils & Vinegars,47.72,116.08,68.36,58.89
SKU-0248,Organic Hold 250g,Household,Cleaning Supplies,47.44,94.64,47.2,49.87
SKU-0249,Organic Experience 1kg,Beverages,Herbal Teas,32.57,73.29,40.720000000000006,55.56
SKU-0250,Organic Reveal 1kg,Beverages,Organic Juices,13.52,22.07,8.55,38.74
SKU-0251,Organic Easy 1kg,Beverages,Plant-Based Milks,29.12,56.87,27.749999999999996,48.8
SKU-0252,Organic Test 1kg,Bundles,Starter Kits,21.67,33.28,11.61,34.89
SKU-0253,Organic Certain 1kg,Beverages,Plant-Based Milks,26.05,58.12,32.06999999999999,55.18
SKU-0254,Organic Professor 1kg,Household,Eco-Friendly Paper Goods,26.04,65.02,38.98,59.95
SKU-0255,Organic Black Powder,Pantry Staples,Protein Bars,42.77,75.35,32.57999999999999,43.24
SKU-0256,Organic Congress 500ml,Household,Cleaning Supplies,6.01,9.74,3.7300000000000004,38.3
SKU-0257,Organic Network 500ml,Pantry Staples,Oils & Vinegars,35.66,70.46,34.8,49.39
SKU-0258,Organic Real Capsules,Wellness,Supplements,34.0,54.87,20.869999999999997,38.04
SKU-0259,Organic Carry 250g,Household,Laundry,15.97,38.01,22.04,57.98
SKU-0260,Organic Maintain Powder,Wellness,Superfoods,12.6,21.85,9.250000000000002,42.33
SKU-0261,Organic Style 1kg,Beverages,Herbal Teas,23.38,47.09,23.710000000000004,50.35
SKU-0262,Organic Green Powder,Pantry Staples,Protein Bars,13.59,24.27,10.68,44.0
SKU-0263,Organic Response 500ml,Beverages,Plant-Based Milks,12.4,28.64,16.240000000000002,56.7
SKU-0264,Organic Tv 500ml,Beverages,Herbal Teas,9.34,21.53,12.190000000000001,56.62
SKU-0265,Organic Plan 1kg,Household,Eco-Friendly Paper Goods,47.89,109.63,61.739999999999995,56.32
SKU-0266,Organic Hospital Capsules,Wellness,Supplements,42.14,73.53,31.39,42.69
SKU-0267,Organic Picture 500ml,Pantry Staples,Nut Butters,15.62,31.03,15.410000000000002,49.66
SKU-0268,Organic Catch 500ml,Household,Cleaning Supplies,25.87,56.8,30.929999999999996,54.45
SKU-0269,Organic Environmental 500ml,Household,Laundry,5.19,11.67,6.4799999999999995,55.53
SKU-0270,Organic Conference Powder,Wellness,Protein Bars,20.98,44.11,23.13,52.44
SKU-0271,Organic If 250g,Beverages,Organic Juices,48.43,117.34,68.91,58.73
SKU-0272,Organic Happen 1kg,Household,Cleaning Supplies,46.58,114.62,68.04,59.36
SKU-0273,Organic According 500ml,Beverages,Organic Juices,25.64,47.79,22.15,46.35
SKU-0274,Organic Once 1kg,Household,Cleaning Supplies,34.05,74.69,40.64,54.41
SKU-0275,Organic Writer Capsules,Wellness,Supplements,17.41,40.09,22.680000000000003,56.57
SKU-0276,Organic President Capsules,Wellness,Supplements,39.7,78.83,39.129999999999995,49.64
SKU-0277,Organic Rise 500ml,Pantry Staples,Nut Butters,43.29,104.45,61.160000000000004,58.55
SKU-0278,Organic Statement Powder,Wellness,Superfoods,43.41,77.6,34.19,44.06
SKU-0279,Organic Culture 500ml,Household,Cleaning Supplies,37.45,80.18,42.730000000000004,53.29
SKU-0280,Organic Just Powder,Wellness,Vitamins,10.72,21.39,10.67,49.88
SKU-0281,Organic Thus 500ml,Household,Laundry,19.5,32.24,12.740000000000002,39.52
SKU-0282,Organic His Capsules,Wellness,Supplements,46.7,97.1,50.39999999999999,51.91
SKU-0283,Organic Approach Powder,Wellness,Supplements,33.41,77.46,44.05,56.87
SKU-0284,Organic Including 1kg,Household,Cleaning Supplies,46.76,93.28,46.52,49.87
SKU-0285,Organic Cold Capsules,Wellness,Supplements,7.51,14.99,7.48,49.9
